Kjoretoytype,Kjoretoytype_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2009,2009,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2010,2010,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2011,2011,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2012,2012,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2013,2013,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2014,2014,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2015,2015,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2016,2016,314.0,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2017,2017,721.2,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2018,2018,1312.6,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2019,2019,1578.9,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2020,2020,1890.8,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2021,2021,2404.5,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2022,2022,2711.0,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2023,2023,2891.6,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2024,2024,2986.1,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",Kjorelengde,Kjørelengde (mill. km),2025,2025,2984.8,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2005,2005,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2006,2006,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2007,2007,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2008,2008,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2009,2009,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2010,2010,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2011,2011,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2012,2012,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2013,2013,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2014,2014,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2015,2015,,.
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2016,2016,9652.0,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2017,2017,11376.0,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2018,2018,14352.0,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2019,2019,14075.0,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2020,2020,13402.0,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2021,2021,13371.0,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2022,2022,13864.0,
0,Kjøretøy i alt,14,"Bensin hybrid, ladbar",GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2023,2023,14119.0,
