Energibalanse,Energibalanse_label,EnergiProdukt,EnergiProdukt_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2021,2021,39110.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2022,2022,39418.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2023,2023,37546.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2024,2024,36079.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2025,2025,33858.0,
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),1990,1990,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),1991,1991,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),1992,1992,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),1993,1993,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),1994,1994,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),1995,1995,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),1996,1996,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),1997,1997,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),1998,1998,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),1999,1999,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),2000,2000,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),2001,2001,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),2002,2002,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),2003,2003,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),2004,2004,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),2005,2005,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),2006,2006,,.
EB120201,12.2.1 Veitransport,EP00,Kull og kullprodukter,EnergibalansenPJ,Energibalansen (PJ),2007,2007,,.
